persona_id,tier,style,allergen_stack,n_walls,survivors,pct_of_910,target_kcal,lbm_lb,fat_lo,fat_hi,carb_lo,carb_hi,prot_lo,prot_hi,keto,tgt_fat_per_100kcal,tgt_prot_per_100kcal,tgt_carb_per_100kcal,pool_fat_min,pool_fat_med,pool_fat_max,pool_prot_med,pool_carb_med,n_recipes_all4_in_band,pct_all4_in_band,n_fat_in_band,n_prot_in_band,n_carb_in_band,hull_feasible,hull_gap_bandunits,gap_axis,verdict
p010,EASY,none,"soy|tree nuts|shellfish",3,620,68.13,3003,212.83,72,85,283,307,243,266,0,2.61,8.47,9.82,0.03,4.1,10.96,4.79,10.07,124,20,269,227,406,1,0,"","SOLVER-LIMITED"
p011,EASY,none,"soy|beef",2,659,72.42,2777,239.11,81,96,172,196,273,299,0,3.19,10.3,6.63,0.03,3.97,10.96,4.53,10.38,43,6.53,333,185,260,1,0,"","SOLVER-LIMITED"
p012,EASY,none,"",0,910,100,2480,116.69,40,47,346,370,133,146,0,1.75,5.63,14.44,0.03,4.2,10.96,5.39,9.78,117,12.86,218,551,541,1,0,"","SOLVER-LIMITED"
p013,HARD,none,"pork|peanuts|eggs|sesame|gluten",5,281,30.88,1622,137.76,47,55,89,113,157,172,0,3.14,10.14,6.23,0.03,3.61,10.96,7.05,9.43,31,11.03,153,121,145,1,0,"","SOLVER-LIMITED"
p014,HARD,none,"pork|shellfish|sesame|gluten",4,325,35.71,1703,131.27,45,53,122,146,150,164,0,2.88,9.22,7.87,0.03,4,10.96,6.35,9.54,60,18.46,164,151,203,1,0,"","SOLVER-LIMITED"
p015,EASY,none,"eggs",1,642,70.55,1946,115.09,39,46,216,240,131,144,0,2.18,7.07,11.72,0.03,3.88,10.96,6.42,9.6,161,25.08,245,393,438,1,0,"","SOLVER-LIMITED"
p016,EASY,none,"",0,910,100,2500,168.07,57,67,248,272,192,210,0,2.48,8.04,10.4,0.03,4.2,10.96,5.39,9.78,173,19.01,356,406,623,1,0,"","SOLVER-LIMITED"
p017,HARD,paleo,"beef|eggs|dairy|soy|gluten",5,75,8.24,1979,188.01,64,75,77,101,214,235,0,3.51,11.34,4.5,0.03,3.61,10.96,6.04,9.1,1,1.33,36,32,19,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p018,EASY,carnivore,"",0,3,0.33,1267,70.97,24,28,136,160,81,89,0,2.05,6.71,11.68,2.39,4.35,7.49,7.49,10.65,1,33.33,1,2,2,1,0,"","SOLVER-LIMITED"
p019,HARD,keto,"eggs|dairy|gluten|peanuts|soy",5,17,1.87,2608,112.16,197,245,10,30,128,140,1,8.47,5.14,0.77,0.43,6.97,10.96,7.38,1.78,3,17.65,15,12,6,1,0,"","SOLVER-LIMITED"
p020,EASY,vegetarian,"dairy",1,217,23.85,1254,98.02,33,39,78,102,112,123,0,2.87,9.37,7.18,0.03,3.6,10.96,5.53,11.89,18,8.29,119,83,100,1,0,"","SOLVER-LIMITED"
p021,EASY,none,"dairy|sesame",2,520,57.14,3140,226.41,77,91,289,313,258,283,0,2.68,8.61,9.59,0.03,3.58,10.96,6.78,9.69,133,25.58,268,282,374,1,0,"","SOLVER-LIMITED"
p022,HARD,kosher,"pork|dairy|soy|shellfish",4,345,37.91,1907,126.97,43,51,182,206,145,159,0,2.46,7.97,10.17,0.03,3.23,10.96,6.34,9.86,113,32.75,182,186,257,1,0,"","SOLVER-LIMITED"
p023,EASY,none,"",0,910,100,2824,183.4,62,73,298,322,209,229,0,2.39,7.75,10.98,0.03,4.2,10.96,5.39,9.78,181,19.89,341,425,613,1,0,"","SOLVER-LIMITED"
p024,EASY,none,"",0,910,100,1796,137.47,47,55,133,157,157,172,0,2.84,9.16,8.07,0.03,4.2,10.96,5.39,9.78,129,14.18,409,341,560,1,0,"","SOLVER-LIMITED"
p025,EASY,none,"gluten|fish",2,343,37.69,3437,184.92,63,74,447,471,211,231,0,1.99,6.43,13.35,0.03,4.24,10.96,5.96,9.58,51,14.87,104,215,199,1,0,"","SOLVER-LIMITED"
p026,HARD,mediterranean,"nightshades|dairy|peanuts|soy",4,172,18.9,1764,190,66,82,37,61,217,238,0,4.2,12.9,2.78,0.03,2.82,10.96,6.17,10.15,2,1.16,98,47,9,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p027,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,1234,115.4,39,46,38,62,132,144,0,3.44,11.18,4.05,0.03,3.29,10.96,2.06,16.4,0,0,6,0,3,0,2.48,"protein+fat+carb","POOL-LIMITED (ratio unreachable)"
p028,IMPOSSIBLE,halal,"gluten|pork|dairy|soy",4,203,22.31,1709,168.07,57,67,50,74,192,210,0,3.63,11.76,3.63,0.03,3.02,10.96,7.26,9.58,1,0.49,123,79,22,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p029,EASY,none,"",0,910,100,1688,131.15,45,52,119,143,150,164,0,2.87,9.3,7.76,0.03,4.2,10.96,5.39,9.78,123,13.52,403,331,546,1,0,"","SOLVER-LIMITED"
p030,IMPOSSIBLE,vegan,"cilantro|shellfish|pork|beef|soy|gluten|peanuts|tree nuts|sesame|legumes",9,20,2.2,1500,86.91,30,35,161,185,99,109,0,2.17,6.93,11.53,0.03,3.29,10.96,2.06,16.4,0,0,6,1,8,0,0.74,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p031,EASY,none,"",0,910,100,1708,141.43,48,57,103,127,161,177,0,3.07,9.89,6.73,0.03,4.2,10.96,5.39,9.78,76,8.35,443,296,453,1,0,"","SOLVER-LIMITED"
p032,EASY,none,"dairy",1,564,61.98,1725,115.56,39,46,161,185,132,144,0,2.46,8,10.03,0.03,3.64,10.96,6.75,9.58,153,27.13,263,334,414,1,0,"","SOLVER-LIMITED"
p033,EASY,keto,"",0,53,5.82,2272,89.22,175,217,10,30,102,112,1,8.63,4.71,0.88,0.43,6.87,10.96,7.65,1.74,20,37.74,49,48,23,1,0,"","SOLVER-LIMITED"
p034,HARD,kosher,"tree nuts|dairy|beef|peanuts|gluten",5,205,22.53,2047,159.71,54,64,151,175,182,200,0,2.88,9.33,7.96,0.03,3.46,10.96,7.17,9.61,48,23.41,123,107,136,1,0,"","SOLVER-LIMITED"
p035,EASY,mediterranean,"tree nuts|eggs",2,532,58.46,2598,216.31,74,87,173,197,247,270,0,3.1,9.95,7.12,0.03,3.83,10.96,6.68,9.54,64,12.03,290,222,292,1,0,"","SOLVER-LIMITED"
p036,EASY,none,"dairy|shellfish|pork",3,453,49.78,1939,141.11,48,56,162,186,161,176,0,2.68,8.69,8.97,0.03,3.58,10.96,6.69,9.78,115,25.39,235,244,336,1,0,"","SOLVER-LIMITED"
p037,HARD,none,"sesame|shellfish|soy|gluten",4,316,34.73,1650,115.47,39,46,142,166,132,144,0,2.58,8.36,9.33,0.03,4.03,10.96,5.75,9.42,74,23.42,145,140,207,1,0,"","SOLVER-LIMITED"
p038,EASY,none,"nightshades|shellfish",2,426,46.81,2207,142.29,48,57,227,251,162,178,0,2.38,7.7,10.83,0.03,4.1,10.96,3.77,10.82,81,19.01,164,173,290,1,0,"","SOLVER-LIMITED"
p039,HARD,none,"shellfish|peanuts|gluten|soy",4,323,35.49,2184,129.55,44,52,246,270,148,162,0,2.2,7.1,11.81,0.03,4.08,10.96,5.7,9.41,72,22.29,120,183,192,1,0,"","SOLVER-LIMITED"
p040,HARD,none,"sesame|dairy|gluten|soy",4,234,25.71,2317,155.01,53,62,227,251,177,194,0,2.48,8.01,10.32,0.03,3.41,10.96,6.35,9.5,73,31.2,121,130,163,1,0,"","SOLVER-LIMITED"
p041,HARD,halal,"peanuts|shellfish|tree nuts|gluten|soy",5,252,27.69,1903,117.55,40,47,200,224,134,147,0,2.29,7.38,11.14,0.03,3.69,10.96,6.15,9.54,70,27.78,111,149,165,1,0,"","SOLVER-LIMITED"
p042,ROBUSTNESS,none,"soy|nightshades",2,380,41.76,2141,159.81,54,64,175,199,182,200,0,2.76,8.92,8.73,0.03,3.8,10.96,3.33,11.02,65,17.11,169,114,232,1,0,"","SOLVER-LIMITED"
p043,EASY,halal,"beef|eggs",2,489,53.74,3664,248.75,85,100,373,397,284,311,0,2.52,8.12,10.51,0.03,3.46,10.96,6.82,10.06,142,29.04,251,281,355,1,0,"","SOLVER-LIMITED"
p044,EASY,none,"dairy",1,564,61.98,2414,157.7,54,63,246,270,180,197,0,2.42,7.81,10.69,0.03,3.64,10.96,6.75,9.58,153,27.13,255,344,395,1,0,"","SOLVER-LIMITED"
p045,IMPOSSIBLE,vegetarian,"shellfish|gluten|dairy|soy",4,72,7.91,2147,161.45,55,65,172,196,184,202,0,2.79,8.99,8.57,0.03,3.65,10.96,3.23,13.19,3,4.17,36,11,32,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p046,EASY,paleo,"peanuts",1,166,18.24,2062,152.39,52,61,169,193,174,190,0,2.74,8.83,8.78,0.03,4.61,10.96,5.84,8.76,27,16.27,62,72,96,1,0,"","SOLVER-LIMITED"
p047,EASY,vegan,"",0,169,18.57,2278,159.17,54,64,210,234,181,199,0,2.59,8.34,9.75,0.03,3.81,10.96,5.08,11.54,26,15.38,85,78,130,1,0,"","SOLVER-LIMITED"
p048,EASY,none,"",0,910,100,1200,78.54,27,31,104,128,90,98,0,2.42,7.83,9.67,0.03,4.2,10.96,5.39,9.78,177,19.45,336,423,655,1,0,"","SOLVER-LIMITED"
p049,EASY,vegetarian,"peanuts|pork|gluten",3,171,18.79,2415,237.1,81,95,86,110,270,296,0,3.64,11.72,4.06,0.03,4.03,10.96,4.93,11.21,0,0,101,17,19,0,0,"protein","POOL-LIMITED (ratio unreachable)"
p050,EASY,none,"gluten|soy|fish",3,301,33.08,2287,176.83,60,71,176,200,202,221,0,2.86,9.25,8.22,0.03,4.16,10.96,5.41,9.58,49,16.28,141,108,176,1,0,"","SOLVER-LIMITED"
p051,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,1500,120.87,41,48,93,117,138,151,0,2.97,9.63,7,0.03,3.29,10.96,2.06,16.4,0,0,6,0,6,0,1.9,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p052,EASY,mediterranean,"gluten|fish",2,298,32.75,2118,138.23,47,55,212,236,158,173,0,2.41,7.81,10.58,0.03,4.24,10.96,6.07,9.58,55,18.46,112,162,200,1,0,"","SOLVER-LIMITED"
p053,EASY,none,"dairy",1,564,61.98,2798,133.47,45,53,393,417,152,167,0,1.75,5.7,14.47,0.03,3.64,10.96,6.75,9.58,97,17.2,178,397,326,1,0,"","SOLVER-LIMITED"
p054,EASY,vegan,"",0,169,18.57,3788,223.63,76,89,457,481,255,280,0,2.18,7.06,12.38,0.03,3.81,10.96,5.08,11.54,29,17.16,60,84,130,1,0,"","SOLVER-LIMITED"
p055,EASY,none,"eggs",1,642,70.55,1708,140.35,48,56,106,130,160,175,0,3.04,9.81,6.91,0.03,3.88,10.96,6.42,9.6,73,11.37,335,264,358,1,0,"","SOLVER-LIMITED"
p056,EASY,mediterranean,"dairy",1,512,56.26,1583,115.96,39,46,125,149,132,145,0,2.68,8.75,8.65,0.03,3.64,10.96,6.83,9.54,119,23.24,253,278,362,1,0,"","SOLVER-LIMITED"
p057,HARD,none,"peanuts|nightshades|gluten",3,171,18.79,2176,178.1,61,71,146,170,203,223,0,3.03,9.79,7.26,0.03,3.41,10.96,6.47,9.58,23,13.45,89,72,90,1,0,"","SOLVER-LIMITED"
p058,ROBUSTNESS,vegetarian,"tree nuts|soy|shellfish",3,286,31.43,1200,91.91,31,37,77,101,105,115,0,2.83,9.17,7.42,0.03,3.94,10.96,2.89,12.18,18,6.29,130,51,126,1,0,"","SOLVER-LIMITED"
p059,IMPOSSIBLE,vegan,"tree nuts|fish|soy|pork|beef|gluten|peanuts|sesame|legumes",8,20,2.2,1200,83.65,28,33,94,118,95,105,0,2.54,8.33,8.83,0.03,3.29,10.96,2.06,16.4,0,0,6,0,7,0,1.44,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p060,HARD,mediterranean,"pork|shellfish|soy",3,578,63.52,3674,250.37,85,100,374,398,285,313,0,2.52,8.14,10.51,0.03,4.16,10.96,4.6,10.23,111,19.2,234,220,380,1,0,"","SOLVER-LIMITED"
p061,EASY,none,"",0,910,100,3812,234.36,80,94,440,464,267,293,0,2.28,7.35,11.86,0.03,4.2,10.96,5.39,9.78,176,19.34,323,451,587,1,0,"","SOLVER-LIMITED"
p062,EASY,none,"",0,910,100,2738,199.22,68,80,243,267,227,249,0,2.7,8.69,9.31,0.03,4.2,10.96,5.39,9.78,156,17.14,388,367,609,1,0,"","SOLVER-LIMITED"
p063,HARD,mediterranean,"gluten|soy|nightshades|shellfish",4,123,13.52,2667,217.01,74,87,190,214,247,271,0,3.02,9.71,7.57,0.03,3.41,10.96,5.6,9.77,21,17.07,63,43,67,1,0,"","SOLVER-LIMITED"
p064,EASY,paleo,"fish|dairy",2,106,11.65,3688,216.14,73,86,448,472,246,270,0,2.16,7,12.47,0.03,4.88,10.96,5.74,8.76,18,16.98,35,56,50,1,0,"","SOLVER-LIMITED"
p065,EASY,none,"peanuts|beef|tree nuts|pork",4,629,69.12,3754,228.44,78,91,438,462,260,286,0,2.25,7.27,11.99,0.03,3.81,10.96,5.49,10.37,148,23.53,258,321,436,1,0,"","SOLVER-LIMITED"
p066,IMPOSSIBLE,kosher,"tree nuts|gluten|dairy|soy",4,189,20.77,2321,168.94,57,68,201,225,193,211,0,2.69,8.7,9.18,0.03,3.41,10.96,6.35,9.53,60,31.75,109,93,137,1,0,"","SOLVER-LIMITED"
p067,EASY,keto,"",0,53,5.82,2858,235.99,163,203,10,30,269,295,1,6.4,9.87,0.7,0.43,6.87,10.96,7.65,1.74,9,16.98,50,32,16,1,0,"","SOLVER-LIMITED"
p068,EASY,none,"",0,910,100,4005,225.75,77,90,507,531,257,282,0,2.08,6.73,12.96,0.03,4.2,10.96,5.39,9.78,152,16.7,287,486,567,1,0,"","SOLVER-LIMITED"
p069,EASY,none,"peanuts",1,870,95.6,3014,205.86,70,82,300,324,235,257,0,2.52,8.16,10.35,0.03,4.21,10.96,5.37,9.78,162,18.62,343,380,586,1,0,"","SOLVER-LIMITED"
p070,HARD,none,"fish|gluten|pork|beef",4,273,30,1266,100.7,34,40,76,100,115,126,0,2.92,9.52,6.95,0.03,3.87,10.96,5.94,10.07,38,13.92,151,114,145,1,0,"","SOLVER-LIMITED"
p071,HARD,vegetarian,"dairy|fish|sesame|shellfish|gluten|soy",6,67,7.36,1430,132.54,45,53,52,76,151,166,0,3.43,11.08,4.48,0.03,3.61,10.96,3.16,13.2,0,0,34,9,6,0,0.01,"protein","POOL-LIMITED (ratio unreachable)"
p072,IMPOSSIBLE,none,"gluten|dairy|soy",3,245,26.92,1500,132.71,45,53,69,93,151,166,0,3.27,10.57,5.4,0.03,3.46,10.96,6.35,9.5,14,5.71,134,101,78,1,0,"","SOLVER-LIMITED"
p073,IMPOSSIBLE,vegan,"tree nuts|pork|soy|gluten|peanuts|sesame|legumes",6,20,2.2,1512,155.4,57,71,38,62,177,194,0,4.23,12.27,3.31,0.03,3.29,10.96,2.06,16.4,0,0,5,0,1,0,2.52,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p074,HARD,none,"shellfish|peanuts|eggs|soy",4,442,48.57,2091,184.13,63,74,112,136,210,230,0,3.28,10.52,5.93,0.03,3.73,10.96,5.69,9.75,31,7.01,250,143,160,1,0,"","SOLVER-LIMITED"
p075,EASY,vegan,"",0,169,18.57,2890,187.4,64,75,305,329,214,234,0,2.4,7.75,10.97,0.03,3.81,10.96,5.08,11.54,30,17.75,66,82,132,1,0,"","SOLVER-LIMITED"
p076,EASY,none,"",0,910,100,2102,128.88,44,52,227,251,147,161,0,2.28,7.33,11.37,0.03,4.2,10.96,5.39,9.78,183,20.11,325,451,621,1,0,"","SOLVER-LIMITED"
p077,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,2923,206.52,70,83,275,299,235,258,0,2.62,8.43,9.82,0.03,3.29,10.96,2.06,16.4,0,0,6,0,7,0,1.4,"protein+carb+fat","POOL-LIMITED (ratio unreachable)"
p078,EASY,vegetarian,"dairy",1,217,23.85,3074,160.29,54,64,407,431,183,200,0,1.92,6.23,13.63,0.03,3.6,10.96,5.53,11.89,49,22.58,78,117,171,1,0,"","SOLVER-LIMITED"
p079,HARD,keto,"peanuts|soy|gluten",3,35,3.85,2215,183.18,124,155,10,30,209,229,1,6.3,9.89,0.9,0.43,6.97,10.96,7.65,1.74,6,17.14,32,21,14,1,0,"","SOLVER-LIMITED"
p080,IMPOSSIBLE,none,"peanuts|pork|gluten|dairy|soy",5,214,23.52,1537,132.7,45,53,79,103,151,166,0,3.19,10.31,5.92,0.03,3.14,10.96,6.44,9.54,22,10.28,117,95,92,1,0,"","SOLVER-LIMITED"
p081,HARD,none,"dairy|soy|gluten|shellfish",4,218,23.96,1801,148.26,50,59,114,138,169,185,0,3.03,9.83,7,0.03,3.6,10.96,6.11,9.46,34,15.6,111,92,119,1,0,"","SOLVER-LIMITED"
p082,ROBUSTNESS,vegetarian,"",0,401,44.07,2278,139.57,47,56,250,274,159,174,0,2.26,7.31,11.5,0.03,4.02,10.96,3.25,11.92,61,15.21,138,135,308,1,0,"","SOLVER-LIMITED"
p083,IMPOSSIBLE,keto,"peanuts|gluten|dairy|soy",4,22,2.42,2054,108.3,144,179,10,30,123,135,1,7.86,6.28,0.97,0.43,6.8,10.96,8.25,1.66,8,36.36,20,17,12,1,0,"","SOLVER-LIMITED"
p084,HARD,none,"fish|dairy|eggs|gluten|soy",5,158,17.36,1200,74.13,25,30,112,136,85,93,0,2.29,7.42,10.33,0.03,3.7,10.96,5.89,9.48,44,27.85,69,86,113,1,0,"","SOLVER-LIMITED"
p085,ROBUSTNESS,none,"shellfish|dairy|gluten",3,265,29.12,2154,211.59,72,85,72,96,241,264,0,3.64,11.72,3.9,0.03,3.86,10.96,6.62,9.51,1,0.38,172,75,35,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p086,HARD,vegetarian,"soy|pork|sesame|gluten",4,124,13.63,1598,142.22,48,57,74,98,162,178,0,3.29,10.64,5.38,0.03,3.84,10.96,3.14,11.98,1,0.81,66,17,22,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p087,HARD,none,"shellfish|peanuts|dairy|gluten",4,255,28.02,1200,83.02,28,33,95,119,95,104,0,2.54,8.29,8.92,0.03,3.85,10.96,6.62,9.44,62,24.31,123,143,192,1,0,"","SOLVER-LIMITED"
p088,IMPOSSIBLE,paleo,"beef|nightshades|eggs|gluten|dairy|soy",6,24,2.64,2260,153.27,52,61,217,241,175,192,0,2.5,8.12,10.13,0.03,4.88,10.96,2.73,9.84,0,0,5,4,7,1,0,"","SOLVER-LIMITED (hull-only, 0 single-recipe matches)"
p089,EASY,keto,"",0,53,5.82,2121,123.66,143,178,10,30,141,155,1,7.57,6.98,0.94,0.43,6.87,10.96,7.65,1.74,18,33.96,51,40,24,1,0,"","SOLVER-LIMITED"
p090,EASY,none,"beef|shellfish",2,723,79.45,1709,146.03,50,58,94,118,166,183,0,3.16,10.21,6.2,0.03,4.08,10.96,4.79,10.28,39,5.39,369,205,289,1,0,"","SOLVER-LIMITED"
p091,EASY,halal,"sesame",1,715,78.57,2659,159.01,54,64,305,329,181,199,0,2.22,7.15,11.92,0.03,3.9,10.96,5.65,10.23,165,23.08,283,377,499,1,0,"","SOLVER-LIMITED"
p092,EASY,none,"tree nuts|shellfish",2,749,82.31,2246,120,41,48,281,305,137,150,0,1.98,6.39,13.05,0.03,4.19,10.96,5.38,9.79,123,16.42,220,415,479,1,0,"","SOLVER-LIMITED"
p093,ROBUSTNESS,none,"gluten|dairy|eggs",3,259,28.46,1658,107.38,37,43,160,184,122,134,0,2.41,7.72,10.37,0.03,3.78,10.96,7.06,9.42,70,27.03,115,170,193,1,0,"","SOLVER-LIMITED"
p094,EASY,none,"tree nuts|pork|beef",3,657,72.2,3946,316.81,108,127,307,331,361,396,0,2.98,9.59,8.08,0.03,3.81,10.96,5.55,10.27,98,14.92,332,256,375,1,0,"","SOLVER-LIMITED"
p095,EASY,paleo,"peanuts",1,166,18.24,4406,190.36,65,76,678,702,217,238,0,1.6,5.16,15.66,0.03,4.61,10.96,5.84,8.76,10,6.02,27,112,58,1,0,"","SOLVER-LIMITED"
p096,ROBUSTNESS,none,"",0,910,100,2266,134.13,46,54,257,281,153,168,0,2.21,7.08,11.87,0.03,4.2,10.96,5.39,9.78,181,19.89,313,465,604,1,0,"","SOLVER-LIMITED"
p097,EASY,none,"eggs|gluten|pork|beef",4,272,29.89,2487,155.24,53,62,270,294,177,194,0,2.31,7.46,11.34,0.03,3.52,10.96,7.05,9.65,83,30.51,130,172,198,1,0,"","SOLVER-LIMITED"
p098,EASY,vegetarian,"gluten",1,174,19.12,3596,200.99,68,80,456,480,229,251,0,2.06,6.67,13.01,0.03,4.04,10.96,4.83,11.09,31,17.82,49,86,122,1,0,"","SOLVER-LIMITED"
p099,EASY,none,"",0,910,100,1604,147.69,50,59,65,89,168,185,0,3.4,11,4.8,0.03,4.2,10.96,5.39,9.78,23,2.53,486,231,244,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p100,IMPOSSIBLE,mediterranean,"gluten|dairy|soy",3,212,23.3,1210,112.38,38,45,38,62,128,140,0,3.43,11.07,4.13,0.03,3.33,10.96,6.35,9.43,5,2.36,123,87,45,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p101,ROBUSTNESS,none,"no cow dairy but sheep and goat cheese are completely fine",0,910,100,1728,186.67,64,80,37,61,213,233,0,4.17,12.91,2.84,0.03,4.2,10.96,5.39,9.78,8,0.88,612,129,108,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p102,EASY,mediterranean,"",0,814,89.45,1500,103.98,35,42,127,151,119,130,0,2.57,8.3,9.27,0.03,4.17,10.96,5.58,9.78,159,19.53,346,364,569,1,0,"","SOLVER-LIMITED"
p103,IMPOSSIBLE,keto,"shellfish|gluten|dairy|soy",4,19,2.09,1311,110.32,68,85,10,30,126,138,1,5.84,10.07,1.53,3.35,7.07,10.96,7.49,1.34,8,42.11,17,10,16,1,0,"","SOLVER-LIMITED"
p104,EASY,keto,"gluten",1,36,3.96,3112,234.43,189,235,10,30,267,293,1,6.81,9,0.64,0.43,6.92,10.96,7.79,1.76,5,13.89,33,24,10,1,0,"","SOLVER-LIMITED"
p105,EASY,kosher,"pork|dairy",2,459,50.44,4483,194.89,66,78,689,713,222,244,0,1.61,5.2,15.64,0.03,3.58,10.96,6.69,9.77,55,11.98,131,329,214,1,0,"","SOLVER-LIMITED"
p106,HARD,none,"dairy|shellfish|pork|beef",4,408,44.84,1452,106.35,36,43,110,134,121,133,0,2.72,8.75,8.4,0.03,3.35,10.96,6.81,10.05,106,25.98,228,220,294,1,0,"","SOLVER-LIMITED"
p107,EASY,none,"shellfish",1,826,90.77,2149,169.05,57,68,158,182,193,211,0,2.91,9.4,7.91,0.03,4.28,10.96,5.15,9.85,111,13.44,392,284,492,1,0,"","SOLVER-LIMITED"
p108,IMPOSSIBLE,vegan,"soy|gluten|peanuts|tree nuts|sesame|legumes",5,20,2.2,1792,170.98,58,68,65,89,195,214,0,3.52,11.41,4.3,0.03,3.29,10.96,2.06,16.4,0,0,6,0,3,0,2.5,"protein+fat+carb","POOL-LIMITED (ratio unreachable)"
p109,IMPOSSIBLE,none,"pork|beef|gluten|dairy|soy",5,199,21.87,1781,199.37,63,78,38,62,227,249,0,3.96,13.36,2.81,0.03,3.01,10.96,6.62,9.77,1,0.5,119,53,14,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p110,EASY,none,"cilantro",1,871,95.71,2212,97.36,33,39,319,343,111,122,0,1.63,5.27,14.96,0.03,4.17,10.96,5.39,9.83,86,9.87,185,544,488,1,0,"","SOLVER-LIMITED"
p111,EASY,carnivore,"nightshades",1,1,0.11,1984,108.95,37,44,238,262,124,136,0,2.04,6.55,12.6,7.49,7.49,7.49,7.49,0.45,0,0,0,1,0,0,5.75,"fat+carb","POOL-LIMITED (ratio unreachable)"
p112,EASY,vegetarian,"pork|dairy",2,217,23.85,2062,175.15,60,70,123,147,200,219,0,3.15,10.16,6.55,0.03,3.6,10.96,5.53,11.89,3,1.38,129,65,76,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p113,HARD,none,"eggs|gluten|tree nuts|peanuts",4,306,33.63,1261,124.92,47,58,37,61,142,156,0,4.16,11.82,3.89,0.03,3.79,10.96,6.74,9.42,3,0.98,203,86,60,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p114,EASY,keto,"",0,53,5.82,2648,182,167,208,10,30,207,228,1,7.08,8.21,0.76,0.43,6.87,10.96,7.65,1.74,14,26.42,51,37,19,1,0,"","SOLVER-LIMITED"
